number,title,slug,link,language,runtime,memory,file
401,Binary Watch,binary-watch,https://leetcode.com/problems/binary-watch/,cpp,0 ms,9.6 MB,0401-binary-watch.cpp
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,cpp,34 ms,10.8 MB,0424-longest-repeating-character-replacement.cpp
451,Sort Characters By Frequency,sort-characters-by-frequency,https://leetcode.com/problems/sort-characters-by-frequency/,cpp,0 ms,11.7 MB,0451-sort-characters-by-frequency.cpp
455,Assign Cookies,assign-cookies,https://leetcode.com/problems/assign-cookies/,cpp,8 ms,44.8 MB,0455-assign-cookies.cpp
474,Ones and Zeroes,ones-and-zeroes,https://leetcode.com/problems/ones-and-zeroes/,cpp,202 ms,39.5 MB,0474-ones-and-zeroes.cpp
496,Next Greater Element I,next-greater-element-i,https://leetcode.com/problems/next-greater-element-i/,cpp,0 ms,12.8 MB,0496-next-greater-element-i.cpp
509,Fibonacci Number,fibonacci-number,https://leetcode.com/problems/fibonacci-number/,cpp,0 ms,7.8 MB,0509-fibonacci-number.cpp
540,Single Element in a Sorted Array,single-element-in-a-sorted-array,https://leetcode.com/problems/single-element-in-a-sorted-array/,cpp,0 ms,26.3 MB,0540-single-element-in-a-sorted-array.cpp
560,Subarray Sum Equals K,subarray-sum-equals-k,https://leetcode.com/problems/subarray-sum-equals-k/,cpp,2502 ms,34.4 MB,0560-subarray-sum-equals-k.cpp
581,Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,cpp,0 ms,30.5 MB,0581-shortest-unsorted-continuous-subarray.cpp
693,Binary Number with Alternating Bits,binary-number-with-alternating-bits,https://leetcode.com/problems/binary-number-with-alternating-bits/,cpp,0 ms,7.6 MB,0693-binary-number-with-alternating-bits.cpp
696,Count Binary Substrings,count-binary-substrings,https://leetcode.com/problems/count-binary-substrings/,cpp,0 ms,13 MB,0696-count-binary-substrings.cpp
712,Minimum ASCII Delete Sum for Two Strings,minimum-ascii-delete-sum-for-two-strings,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/,cpp,15 ms,18.3 MB,0712-minimum-ascii-delete-sum-for-two-strings.cpp
717,1-bit and 2-bit Characters,1-bit-and-2-bit-characters,https://leetcode.com/problems/1-bit-and-2-bit-characters/,cpp,0 ms,13.1 MB,0717-1-bit-and-2-bit-characters.cpp
724,Find Pivot Index,find-pivot-index,https://leetcode.com/problems/find-pivot-index/,cpp,0 ms,35.8 MB,0724-find-pivot-index.cpp
733,Flood Fill,flood-fill,https://leetcode.com/problems/flood-fill/,cpp,0 ms,18 MB,0733-flood-fill.cpp
744,Find Smallest Letter Greater Than Target,find-smallest-letter-greater-than-target,https://leetcode.com/problems/find-smallest-letter-greater-than-target/,cpp,0 ms,19.6 MB,0744-find-smallest-letter-greater-than-target.cpp
756,Pyramid Transition Matrix,pyramid-transition-matrix,https://leetcode.com/problems/pyramid-transition-matrix/,cpp,0 ms,157.8 MB,0756-pyramid-transition-matrix.cpp
757,Set Intersection Size At Least Two,set-intersection-size-at-least-two,https://leetcode.com/problems/set-intersection-size-at-least-two/,cpp,0 ms,21.7 MB,0757-set-intersection-size-at-least-two.cpp
761,Special Binary String,special-binary-string,https://leetcode.com/problems/special-binary-string/,cpp,0 ms,9.5 MB,0761-special-binary-string.cpp
762,Prime Number of Set Bits in Binary Representation,prime-number-of-set-bits-in-binary-representation,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation/,cpp,3 ms,8.3 MB,0762-prime-number-of-set-bits-in-binary-representation.cpp
799,Champagne Tower,champagne-tower,https://leetcode.com/problems/champagne-tower/,cpp,0 ms,8.8 MB,0799-champagne-tower.cpp
840,Magic Squares In Grid,magic-squares-in-grid,https://leetcode.com/problems/magic-squares-in-grid/,cpp,0 ms,11.6 MB,0840-magic-squares-in-grid.cpp
852,Peak Index in a Mountain Array,peak-index-in-a-mountain-array,https://leetcode.com/problems/peak-index-in-a-mountain-array/,cpp,0 ms,63.4 MB,0852-peak-index-in-a-mountain-array.cpp
865,Smallest Subtree with all the Deepest Nodes,smallest-subtree-with-all-the-deepest-nodes,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/,cpp,0 ms,16.1 MB,0865-smallest-subtree-with-all-the-deepest-nodes.cpp
868,Binary Gap,binary-gap,https://leetcode.com/problems/binary-gap/,cpp,0 ms,7.9 MB,0868-binary-gap.cpp
876,Middle of the Linked List,middle-of-the-linked-list,https://leetcode.com/problems/middle-of-the-linked-list/,cpp,0 ms,10 MB,0876-middle-of-the-linked-list.cpp
877,Stone Game,stone-game,https://leetcode.com/problems/stone-game/,cpp,0 ms,10.3 MB,0877-stone-game.cpp
904,Fruit Into Baskets,fruit-into-baskets,https://leetcode.com/problems/fruit-into-baskets/,cpp,43 ms,84.9 MB,0904-fruit-into-baskets.cpp
918,Maximum Sum Circular Subarray,maximum-sum-circular-subarray,https://leetcode.com/problems/maximum-sum-circular-subarray/,cpp,0 ms,43.7 MB,0918-maximum-sum-circular-subarray.cpp
921,Minimum Add to Make Parentheses Valid,minimum-add-to-make-parentheses-valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,cpp,0 ms,8.3 MB,0921-minimum-add-to-make-parentheses-valid.cpp
929,Unique Email Addresses,unique-email-addresses,https://leetcode.com/problems/unique-email-addresses/,cpp,15 ms,20.6 MB,0929-unique-email-addresses.cpp
941,Valid Mountain Array,valid-mountain-array,https://leetcode.com/problems/valid-mountain-array/,cpp,16 ms,26.1 MB,0941-valid-mountain-array.cpp
944,Delete Columns to Make Sorted,delete-columns-to-make-sorted,https://leetcode.com/problems/delete-columns-to-make-sorted/,cpp,0 ms,15.6 MB,0944-delete-columns-to-make-sorted.cpp
955,Delete Columns to Make Sorted II,delete-columns-to-make-sorted-ii,https://leetcode.com/problems/delete-columns-to-make-sorted-ii/,cpp,0 ms,12.8 MB,0955-delete-columns-to-make-sorted-ii.cpp
960,Delete Columns to Make Sorted III,delete-columns-to-make-sorted-iii,https://leetcode.com/problems/delete-columns-to-make-sorted-iii/,cpp,0 ms,13.6 MB,0960-delete-columns-to-make-sorted-iii.cpp
961,N-Repeated Element in Size 2N Array,n-repeated-element-in-size-2n-array,https://leetcode.com/problems/n-repeated-element-in-size-2n-array/,cpp,0 ms,28.5 MB,0961-n-repeated-element-in-size-2n-array.cpp
977,Squares of a Sorted Array,squares-of-a-sorted-array,https://leetcode.com/problems/squares-of-a-sorted-array/,cpp,4 ms,31.8 MB,0977-squares-of-a-sorted-array.cpp
994,Rotting Oranges,rotting-oranges,https://leetcode.com/problems/rotting-oranges/,cpp,0 ms,17.3 MB,0994-rotting-oranges.cpp
